City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,Kamogawa,35.1,140.1,53.01,76,40,6.91,JP,2021-04-23 20:43:09
118,Port Hedland,-20.3167,118.5667,64.4,55,0,3.44,AU,2021-04-23 20:43:09
119,Souillac,-20.5167,57.5167,78.8,78,75,10.36,MU,2021-04-23 20:43:09
120,Darnah,32.767,22.6367,65.89,58,45,17.34,LY,2021-04-23 20:43:10
121,Lang Son,21.8333,106.7333,75.02,90,100,3.85,VN,2021-04-23 20:43:10
122,Mango,27.9797,-82.3065,86.0,48,75,5.75,US,2021-04-23 20:43:11
123,Tashtagol,52.7657,87.8894,23.74,95,39,1.32,RU,2021-04-23 20:43:11
124,Lazaro Cardenas,17.9583,-102.2,85.5,45,97,11.61,MX,2021-04-23 20:43:12
125,Santa Maria,-29.6842,-53.8069,82.4,39,20,8.05,BR,2021-04-23 20:43:14
126,Bilma,18.6853,12.9164,91.45,9,36,9.73,NE,2021-04-23 20:43:14
127,Nishihara,26.1842,127.7558,68.0,83,75,16.11,JP,2021-04-23 20:43:14
128,Bluff,-46.6,168.3333,45.0,95,76,1.01,NZ,2021-04-23 20:43:15
129,Lavrentiya,65.5833,-171.0,32.47,74,29,0.96,RU,2021-04-23 20:43:15
130,Longyearbyen,78.2186,15.6401,15.8,67,40,5.75,SJ,2021-04-23 20:42:52
131,Atocha,-20.9333,-66.2333,52.0,14,0,22.06,BO,2021-04-23 20:43:16
132,Gander,48.9682,-54.5906,42.8,45,75,21.85,CA,2021-04-23 20:43:16
133,Khatanga,71.9667,102.5,33.06,97,100,21.21,RU,2021-04-23 20:43:17
134,Aksu,41.1231,80.2644,50.99,43,0,6.46,CN,2021-04-23 20:43:18
135,Saint-Philippe,-21.3585,55.7679,77.0,73,75,5.75,RE,2021-04-23 20:43:18
136,De Aar,-30.6497,24.0123,63.39,28,0,5.08,ZA,2021-04-23 20:43:18
137,Havelock,34.8791,-76.9013,66.2,34,40,11.5,US,2021-04-23 20:43:19
138,Namibe,-15.1961,12.1522,78.69,77,1,6.58,AO,2021-04-23 20:43:19
139,Insar,53.8653,44.3738,49.59,77,91,6.08,RU,2021-04-23 20:43:19
140,Iqaluit,63.7506,-68.5145,28.4,93,90,3.44,CA,2021-04-23 20:43:20
141,Prainha,-1.8,-53.48,81.52,76,75,1.12,BR,2021-04-23 20:43:20
142,Ponta Do Sol,32.6667,-17.1,57.99,83,47,1.99,PT,2021-04-23 20:43:20
143,Bulgan,48.8125,103.5347,26.67,96,100,4.07,MN,2021-04-23 20:43:21
144,Mokhsogollokh,61.4681,128.9203,23.52,92,100,9.28,RU,2021-04-23 20:43:21
145,El Higo,21.7667,-98.4667,103.51,22,97,8.68,MX,2021-04-23 20:43:22
146,Tadine,-21.55,167.8833,77.04,79,97,9.22,NC,2021-04-23 20:43:22
147,Antalaha,-14.9003,50.2788,73.11,92,99,5.55,MG,2021-04-23 20:43:22
148,Cap Malheureux,-19.9842,57.6142,78.01,79,99,4.0,MU,2021-04-23 20:43:23
149,Gurupi,-11.7292,-49.0686,80.87,67,83,2.46,BR,2021-04-23 20:38:43
150,Mongo,12.1844,18.693,93.51,24,87,7.05,TD,2021-04-23 20:43:24
151,Tommot,58.9564,126.2925,23.7,82,100,10.89,RU,2021-04-23 20:43:24
152,Hof,50.3167,11.9167,39.99,66,13,1.01,DE,2021-04-23 20:43:25
153,Karratha,-20.7377,116.8463,75.24,26,0,9.89,AU,2021-04-23 20:43:25
154,Thompson,55.7435,-97.8558,26.6,54,90,13.8,CA,2021-04-23 20:41:05
155,San Ignacio,17.1561,-89.0714,95.0,41,40,4.61,BZ,2021-04-23 20:43:25
156,Matagami,49.7502,-77.6328,60.8,29,20,14.97,CA,2021-04-23 20:43:26
157,Atar,20.5169,-13.0499,83.19,11,0,5.44,MR,2021-04-23 20:43:26
158,Rodrigues Alves,-7.738,-72.6509,89.6,70,75,6.91,BR,2021-04-23 20:43:26
159,Cherskiy,68.75,161.3,20.75,94,100,7.4,RU,2021-04-23 20:43:27
160,Rutul,41.5357,47.4239,59.0,82,20,16.11,RU,2021-04-23 20:43:27
161,Rovnoye,50.7765,46.0509,49.59,78,96,2.13,RU,2021-04-23 20:43:28
162,Itoman,26.1247,127.6694,68.0,83,75,16.11,JP,2021-04-23 20:43:28
163,Galle,6.0367,80.217,80.78,81,43,6.69,LK,2021-04-23 20:43:28
164,Katsuura,35.1333,140.3,51.8,76,40,6.91,JP,2021-04-23 20:43:29
165,Toktogul,41.8708,72.9402,47.73,48,3,4.56,KG,2021-04-23 20:43:29
166,Algiers,36.7525,3.042,57.2,82,40,6.91,DZ,2021-04-23 20:43:29
167,Esperance,-33.8667,121.9,55.4,94,95,11.5,AU,2021-04-23 20:43:30
168,Vikarabad,17.3333,77.9,81.0,57,40,3.44,IN,2021-04-23 20:43:30
169,Severnyy,50.677,36.5532,46.4,100,75,6.71,RU,2021-04-23 20:43:31
170,At-Bashi,41.1702,75.8106,34.07,40,32,2.53,KG,2021-04-23 20:43:31
171,Saskylakh,71.9167,114.0833,33.58,96,100,18.95,RU,2021-04-23 20:43:32
172,Dudinka,69.4058,86.1778,31.64,97,100,19.06,RU,2021-04-23 20:42:04
173,Markala,13.7021,-6.0659,99.3,15,95,2.95,ML,2021-04-23 20:43:32
174,Panguna,-6.3164,155.4848,70.09,93,100,2.06,PG,2021-04-23 20:43:32
175,Tautira,-17.7333,-149.15,84.2,65,75,4.61,PF,2021-04-23 20:43:33
176,Castro,-24.7911,-50.0119,59.77,72,6,3.67,BR,2021-04-23 20:43:33
177,Soe,-9.8607,124.284,62.98,92,9,3.83,ID,2021-04-23 20:43:33
178,Tuktoyaktuk,69.4541,-133.0374,14.0,67,75,11.5,CA,2021-04-23 20:43:34
179,Severo-Kurilsk,50.6789,156.125,35.67,93,99,7.76,RU,2021-04-23 20:43:34
180,Tecoanapa,16.5167,-98.75,86.45,51,100,11.21,MX,2021-04-23 20:43:34
181,Dingle,10.9995,122.6711,76.15,84,100,3.6,PH,2021-04-23 20:43:35
182,Damnagar,21.7,71.5167,83.12,44,54,10.83,IN,2021-04-23 20:43:35
183,Dawlatabad,36.4141,64.9053,61.88,25,7,2.86,AF,2021-04-23 20:43:36
184,Srednebelaya,50.6594,128.0106,26.6,46,20,4.47,RU,2021-04-23 20:43:38
185,Mahebourg,-20.4081,57.7,78.8,78,75,10.36,MU,2021-04-23 20:43:39
186,El Campo,29.1966,-96.2697,77.0,78,90,21.85,US,2021-04-23 20:41:56
187,Cidreira,-30.1811,-50.2056,70.61,77,1,17.85,BR,2021-04-23 20:43:40
188,Marrakesh,31.6315,-8.0083,71.6,43,40,10.36,MA,2021-04-23 20:43:40
189,Faanui,-16.4833,-151.75,80.53,74,73,10.96,PF,2021-04-23 20:43:41
190,Canavieiras,-15.675,-38.9472,76.86,80,38,5.32,BR,2021-04-23 20:43:41
191,Karla,59.3723,24.9275,36.0,80,0,16.11,EE,2021-04-23 20:43:42
192,Pinega,64.7001,43.3936,48.34,76,99,9.19,RU,2021-04-23 20:43:42
193,Coihaique,-45.5752,-72.0662,51.8,62,40,6.91,CL,2021-04-23 20:43:42
194,Broome,42.2506,-75.833,60.01,32,1,17.27,US,2021-04-23 20:43:43
195,High Rock,26.6208,-78.2833,80.6,61,75,12.66,BS,2021-04-23 20:43:43
196,Snezhnogorsk,69.1933,33.2531,32.0,74,75,6.71,RU,2021-04-23 20:43:44
197,Grand Gaube,-20.0064,57.6608,78.01,79,99,4.0,MU,2021-04-23 20:43:44
198,Atbasar,51.8,68.3333,38.97,49,100,12.55,KZ,2021-04-23 20:43:45
199,Christchurch,-43.5333,172.6333,57.99,71,29,3.44,NZ,2021-04-23 20:42:38
200,Sao Joao Da Barra,-21.6403,-41.0511,78.8,57,0,9.22,BR,2021-04-23 20:43:45
201,Paris,48.8534,2.3488,57.2,35,0,9.22,FR,2021-04-23 20:43:45
202,Wenatchee,47.4235,-120.3103,66.99,23,1,8.05,US,2021-04-23 20:43:46
203,Santa Marta,11.2408,-74.199,90.0,61,33,10.0,CO,2021-04-23 20:41:58
204,Teya,60.3778,92.6267,20.12,98,53,0.89,RU,2021-04-23 20:43:46
205,Kungurtug,50.5994,97.5228,27.1,95,100,2.64,RU,2021-04-23 20:43:47
206,Zyryanka,65.75,150.85,11.17,93,100,22.06,RU,2021-04-23 20:43:47
207,Mamit,23.9333,92.4833,63.5,54,41,3.36,IN,2021-04-23 20:43:48
208,Nome,64.5011,-165.4064,41.0,56,1,5.75,US,2021-04-23 20:43:48
209,Berlevag,70.8578,29.0864,30.2,74,20,8.05,NO,2021-04-23 20:43:48
210,Skibbereen,51.55,-9.2667,50.0,66,40,16.11,IE,2021-04-23 20:43:49
211,Bonthe,7.5264,-12.505,79.56,84,95,4.74,SL,2021-04-23 20:43:49
212,Northam,51.0333,-4.2167,50.0,48,100,16.31,GB,2021-04-23 20:43:49
213,Zima,53.9202,102.0442,32.99,57,100,7.4,RU,2021-04-23 20:43:50
214,Korla,41.7597,86.1469,44.55,61,45,10.83,CN,2021-04-23 20:43:50
215,Coquimbo,-29.9533,-71.3436,64.4,59,75,10.36,CL,2021-04-23 20:43:51
216,Nanortalik,60.1432,-45.2371,36.77,85,17,3.51,GL,2021-04-23 20:43:51
217,Zhigansk,66.7697,123.3711,4.73,93,43,6.62,RU,2021-04-23 20:43:52
218,Brigantine,39.4101,-74.3646,62.01,25,1,16.11,US,2021-04-23 20:43:52
219,Avarua,-21.2078,-159.775,82.4,74,75,16.11,CK,2021-04-23 20:43:52
220,Isangel,-19.55,169.2667,80.06,80,76,10.51,VU,2021-04-23 20:43:53
221,Taltal,-25.4,-70.4833,64.44,73,13,5.03,CL,2021-04-23 20:43:53
222,Bud,39.447,-86.1758,59.0,38,90,11.5,US,2021-04-23 20:43:53
223,Sechura,-5.5569,-80.8222,79.7,56,8,14.0,PE,2021-04-23 20:43:54
224,Port Lincoln,-34.7333,135.8667,58.75,75,74,3.8,AU,2021-04-23 20:43:54
225,Vardo,70.3705,31.1107,33.8,69,40,11.5,NO,2021-04-23 20:43:55
226,Raudeberg,61.9875,5.1352,35.01,85,67,13.31,NO,2021-04-23 20:43:55
227,Hanna,51.6334,-111.9018,36.0,33,46,5.99,CA,2021-04-23 20:43:55
228,Namatanai,-3.6667,152.4333,77.16,86,100,4.09,PG,2021-04-23 20:43:56
229,Saint-Pierre,-21.3393,55.4781,77.0,73,75,5.75,RE,2021-04-23 20:43:56
230,Fare,-16.7,-151.0167,79.74,75,63,10.8,PF,2021-04-23 20:43:57
231,Chuy,-33.6971,-53.4616,67.78,81,23,13.67,UY,2021-04-23 20:43:57
232,Maraa,-1.8333,-65.3667,82.31,85,70,2.01,BR,2021-04-23 20:43:57
233,Mareeba,-17.0,145.4333,75.2,78,100,12.66,AU,2021-04-23 20:43:58
234,Muros,42.7762,-9.0603,61.0,85,54,4.0,ES,2021-04-23 20:43:58
235,Kibala,9.1104,18.3463,80.6,65,20,6.91,TD,2021-04-23 20:43:58
236,Nenagh,52.8619,-8.1967,55.4,58,0,10.36,IE,2021-04-23 20:43:59
237,Kilindoni,-7.9139,39.6668,80.94,76,27,18.79,TZ,2021-04-23 20:43:59
238,Lompoc,34.6391,-120.4579,60.01,62,0,6.91,US,2021-04-23 20:40:00
239,Mpanda,-6.3655,31.0409,64.17,95,15,1.77,TZ,2021-04-23 20:44:00
240,Esmeralda,21.8525,-78.1169,89.6,40,40,13.8,CU,2021-04-23 20:44:00
241,Basoko,1.2391,23.616,72.68,95,97,2.42,CD,2021-04-23 20:44:00
242,Kloulklubed,7.0419,134.2556,75.2,94,75,6.76,PW,2021-04-23 20:44:01
243,Lagoa,39.05,-27.9833,57.81,74,10,33.64,PT,2021-04-23 20:44:01
244,Nokaneng,-19.6667,22.2667,65.21,34,0,6.85,BW,2021-04-23 20:44:02
245,Solnechnyy,50.7214,136.6319,30.31,79,75,5.35,RU,2021-04-23 20:44:02
246,Longyan,25.1072,117.0225,66.11,90,17,2.01,CN,2021-04-23 20:44:02
